wape2_level,unique_id,mean_last_8_weeks,historic_mean,weeks_since_first_sale,sales_2022,% sales_2022
0%,,,,,,
1% - 10%,4.0,54.81,55.46,182.0,12107.5,2.34
11% - 20%,51.0,51.63,56.37,185.53,144431.75,27.95
21% - 30%,141.0,25.84,30.61,196.09,199018.5,38.52
31% - 40%,134.0,9.57,11.68,195.99,71371.75,13.81
41% - 50%,96.0,6.5,9.14,196.8,37616.75,7.28
51% - 60%,63.0,5.7,8.6,197.24,22033.25,4.26
61% - 70%,34.0,5.03,7.4,205.5,10602.0,2.05
71% - 80%,25.0,3.27,6.19,208.0,5438.5,1.05
81% - 90%,12.0,11.02,10.82,198.17,6171.0,1.19
91% - 100%,16.0,2.91,5.49,208.0,2869.5,0.56
>100%,28.0,2.89,4.44,197.68,5007.25,0.97
